Id,From,Routing,Reason,Amount,Balance,Date
100078781,Jimmy Jamet,010080690,SENLOG - HR Payslip + Bonus,"<span class='transaction-amount' style='color: red'>-$26,000</span>",255527,"<span class=""text-uppercase"">18/May/2026 22:57</span>"
100078719,Sofiya Saavedra,010124321,SENLOG - HR Payslip+ Bonus,"<span class='transaction-amount' style='color: red'>-$26,000</span>",281527,"<span class=""text-uppercase"">18/May/2026 22:56</span>"
100051735,Rachael Kirkham,010146469,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307527,"<span class=""text-uppercase"">18/May/2026 16:15</span>"
100051732,Rachael Kirkham,010146469,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307514,"<span class=""text-uppercase"">18/May/2026 16:14</span>"
100051729,Rachael Kirkham,010146469,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307501,"<span class=""text-uppercase"">18/May/2026 16:14</span>"
100051726,Rachael Kirkham,010146469,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307488,"<span class=""text-uppercase"">18/May/2026 16:14</span>"
100051720,Rachael Kirkham,010146469,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307475,"<span class=""text-uppercase"">18/May/2026 16:14</span>"
100051717,Rachael Kirkham,010146469,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307462,"<span class=""text-uppercase"">18/May/2026 16:14</span>"
100051714,Rachael Kirkham,010146469,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307449,"<span class=""text-uppercase"">18/May/2026 16:14</span>"
100051710,Rachael Kirkham,010146469,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307436,"<span class=""text-uppercase"">18/May/2026 16:14</span>"
100051707,Rachael Kirkham,010146469,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307423,"<span class=""text-uppercase"">18/May/2026 16:14</span>"
100051703,Rachael Kirkham,010146469,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307410,"<span class=""text-uppercase"">18/May/2026 16:14</span>"
100051697,Rachael Kirkham,010146469,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307397,"<span class=""text-uppercase"">18/May/2026 16:14</span>"
100051691,Rachael Kirkham,010146469,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307384,"<span class=""text-uppercase"">18/May/2026 16:14</span>"
100051685,Rachael Kirkham,010146469,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307371,"<span class=""text-uppercase"">18/May/2026 16:14</span>"
100051679,Rachael Kirkham,010146469,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307358,"<span class=""text-uppercase"">18/May/2026 16:14</span>"
100051673,Rachael Kirkham,010146469,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307345,"<span class=""text-uppercase"">18/May/2026 16:14</span>"
100051667,Rachael Kirkham,010146469,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307332,"<span class=""text-uppercase"">18/May/2026 16:14</span>"
100051664,Rachael Kirkham,010146469,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307319,"<span class=""text-uppercase"">18/May/2026 16:14</span>"
100051658,Rachael Kirkham,010146469,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307306,"<span class=""text-uppercase"">18/May/2026 16:14</span>"
100051653,Rachael Kirkham,010146469,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307293,"<span class=""text-uppercase"">18/May/2026 16:14</span>"
100051645,Rachael Kirkham,010146469,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307280,"<span class=""text-uppercase"">18/May/2026 16:14</span>"
100051286,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307267,"<span class=""text-uppercase"">18/May/2026 16:07</span>"
100051283,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307254,"<span class=""text-uppercase"">18/May/2026 16:07</span>"
100051268,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307241,"<span class=""text-uppercase"">18/May/2026 16:07</span>"
100051264,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307228,"<span class=""text-uppercase"">18/May/2026 16:07</span>"
100051258,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307215,"<span class=""text-uppercase"">18/May/2026 16:07</span>"
100051255,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307202,"<span class=""text-uppercase"">18/May/2026 16:07</span>"
100051251,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307189,"<span class=""text-uppercase"">18/May/2026 16:07</span>"
100051248,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307176,"<span class=""text-uppercase"">18/May/2026 16:06</span>"
100051244,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307163,"<span class=""text-uppercase"">18/May/2026 16:06</span>"
100051241,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307150,"<span class=""text-uppercase"">18/May/2026 16:06</span>"
100051238,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307137,"<span class=""text-uppercase"">18/May/2026 16:06</span>"
100051235,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307124,"<span class=""text-uppercase"">18/May/2026 16:06</span>"
100051232,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307111,"<span class=""text-uppercase"">18/May/2026 16:06</span>"
100051229,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307098,"<span class=""text-uppercase"">18/May/2026 16:06</span>"
100051226,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307085,"<span class=""text-uppercase"">18/May/2026 16:06</span>"
100051222,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307072,"<span class=""text-uppercase"">18/May/2026 16:06</span>"
100051219,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307059,"<span class=""text-uppercase"">18/May/2026 16:06</span>"
100051216,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307046,"<span class=""text-uppercase"">18/May/2026 16:06</span>"
100051213,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307033,"<span class=""text-uppercase"">18/May/2026 16:06</span>"
100051210,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307020,"<span class=""text-uppercase"">18/May/2026 16:06</span>"
100050875,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,307007,"<span class=""text-uppercase"">18/May/2026 15:59</span>"
100050870,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,306994,"<span class=""text-uppercase"">18/May/2026 15:59</span>"
100050861,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,306981,"<span class=""text-uppercase"">18/May/2026 15:59</span>"
100050849,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,306968,"<span class=""text-uppercase"">18/May/2026 15:59</span>"
100050846,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,306955,"<span class=""text-uppercase"">18/May/2026 15:59</span>"
100050843,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,306942,"<span class=""text-uppercase"">18/May/2026 15:58</span>"
100050840,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,306929,"<span class=""text-uppercase"">18/May/2026 15:58</span>"
100050836,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,306916,"<span class=""text-uppercase"">18/May/2026 15:58</span>"
100050833,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,306903,"<span class=""text-uppercase"">18/May/2026 15:58</span>"
100050830,Erika Wagner,010144206,Trucking Commission,<span class='transaction-amount' style='color: green'>+$13</span>,306890,"<span class=""text-uppercase"">18/May/2026 15:58</span>"
